Município,Casos de Tuberculose
110001 Alta Floresta D'Oeste,9
110034 Alvorada D'Oeste,2
110002 Ariquemes,43
110045 Buritis,4
110003 Cabixi,1
110004 Cacoal,28
110080 Candeias do Jamari,5
110090 Castanheiras,1
110005 Cerejeiras,5
110092 Chupinguaia,1
110007 Corumbiara,2
110094 Cujubim,3
110009 Espigão D'Oeste,4
110100 Governador Jorge Teixeira,1
110010 Guajará-Mirim,18
110110 Itapuã do Oeste,3
110011 Jaru,9
110012 Ji-Paraná,25
110013 Machadinho D'Oeste,4
110120 Ministro Andreazza,1
110130 Mirante da Serra,3
110140 Monte Negro,3
110014 Nova Brasilândia D'Oeste,4
110033 Nova Mamoré,5
110015 Ouro Preto do Oeste,7
110018 Pimenta Bueno,6
110146 Pimenteiras do Oeste,1
110020 Porto Velho,547
110025 Presidente Médici,3
110028 Rolim de Moura,2
110148 São Felipe D'Oeste,1
110149 São Francisco do Guaporé,1
110032 São Miguel do Guaporé,2
110155 Teixeirópolis,1
110160 Theobroma,3
110170 Urupá,2
110175 Vale do Anari,1
110030 Vilhena,18
120001 Acrelândia,3
120005 Assis Brasil,14
120010 Brasiléia,7
120013 Bujari,8
120017 Capixaba,1
120020 Cruzeiro do Sul,36
120025 Epitaciolândia,8
120033 Mâncio Lima,4
120034 Manoel Urbano,1
120038 Plácido de Castro,7
120080 Porto Acre,7
120040 Rio Branco,320
120043 Santa Rosa do Purus,3
120050 Sena Madureira,4
120045 Senador Guiomard,9
120060 Tarauacá,1
120070 Xapuri,3
130002 Alvarães,3
130006 Amaturá,2
130008 Anamã,6
130014 Apuí,5
130020 Atalaia do Norte,5
130030 Autazes,59
130040 Barcelos,5
130050 Barreirinha,6
130060 Benjamin Constant,17
130063 Beruri,3
130068 Boa Vista do Ramos,6
130070 Boca do Acre,33
130080 Borba,13
130083 Caapiranga,3
130090 Canutama,3
130100 Carauari,3
130110 Careiro,4
130115 Careiro da Várzea,3
130120 Coari,30
130130 Codajás,3
130140 Eirunepé,14
130150 Envira,4
130160 Fonte Boa,6
130170 Humaitá,22
130180 Ipixuna,7
130185 Iranduba,10
130190 Itacoatiara,33
130195 Itamarati,5
130200 Itapiranga,2
130210 Japurá,1
130220 Juruá,2
130230 Jutaí,2
130240 Lábrea,11
130250 Manacapuru,60
130260 Manaus,2581
130270 Manicoré,17
130290 Maués,28
130300 Nhamundá,9
130310 Nova Olinda do Norte,8
130320 Novo Airão,3
130330 Novo Aripuanã,7
130340 Parintins,45
130350 Pauini,4
130353 Presidente Figueiredo,12
130356 Rio Preto da Eva,3
130360 Santa Isabel do Rio Negro,6
130370 Santo Antônio do Içá,5
130380 São Gabriel da Cachoeira,30
130390 São Paulo de Olivença,5
130395 São Sebastião do Uatumã,2
130400 Silves,26
130406 Tabatinga,45
130410 Tapauá,3
130420 Tefé,34
130423 Tonantins,1
130430 Urucará,4
130440 Urucurituba,3
140005 Alto Alegre,1
140010 Boa Vista,155
140017 Cantá,1
140020 Caracaraí,1
140047 Rorainópolis,3
140060 São Luiz,1
150010 Abaetetuba,60
150013 Abel Figueiredo,2
150020 Acará,8
150034 Água Azul do Norte,1
150040 Alenquer,13
150050 Almeirim,8
150060 Altamira,44
150070 Anajás,5
150080 Ananindeua,335
150085 Anapu,5
150090 Augusto Corrêa,10
150095 Aurora do Pará,5
150100 Aveiro,1
150110 Bagre,3
150120 Baião,13
150130 Barcarena,69
150140 Belém,1722
150145 Belterra,3
150150 Benevides,40
150157 Bom Jesus do Tocantins,1
150160 Bonito,5
150170 Bragança,55
150172 Brasil Novo,9
150178 Breu Branco,12
150180 Breves,31
150190 Bujaru,10
150200 Cachoeira do Arari,5
150195 Cachoeira do Piriá,3
150210 Cametá,62
150215 Canaã dos Carajás,21
150220 Capanema,30
150230 Capitão Poço,21
150240 Castanhal,104
150250 Chaves,1
150260 Colares,4
150270 Conceição do Araguaia,1
150275 Concórdia do Pará,8
150276 Cumaru do Norte,1
150277 Curionópolis,5
150280 Curralinho,7
150285 Curuá,2
150290 Curuçá,21
150293 Dom Eliseu,8
150295 Eldorado do Carajás,3
150300 Faro,1
150307 Garrafão do Norte,3
150309 Goianésia do Pará,4
150310 Gurupá,4
150320 Igarapé-Açu,14
150330 Igarapé-Miri,24
150340 Inhangapi,5
150345 Ipixuna do Pará,2
150350 Irituia,5
150360 Itaituba,46
150370 Itupiranga,13
150375 Jacareacanga,24
150380 Jacundá,8
150390 Juruti,10
150400 Limoeiro do Ajuru,2
150405 Mãe do Rio,13
150410 Magalhães Barata,3
150420 Marabá,89
150430 Maracanã,21
150440 Marapanim,10
150442 Marituba,138
150445 Medicilândia,4
150450 Melgaço,1
150460 Mocajuba,10
150470 Moju,15
150475 Mojuí dos Campos,4
150480 Monte Alegre,7
150490 Muaná,7
150495 Nova Esperança do Piriá,9
150497 Nova Ipixuna,1
150500 Nova Timboteua,4
150503 Novo Progresso,29
150506 Novo Repartimento,13
150510 Óbidos,13
150520 Oeiras do Pará,10
150530 Oriximiná,25
150540 Ourém,2
150543 Ourilândia do Norte,10
150548 Pacajá,7
150549 Palestina do Pará,1
150550 Paragominas,59
150553 Parauapebas,48
150555 Pau D'Arco,3
150560 Peixe-Boi,5
150563 Piçarra,2
150565 Placas,7
150570 Ponta de Pedras,5
150580 Portel,14
150590 Porto de Moz,7
150600 Prainha,7
150610 Primavera,4
150611 Quatipuru,6
150613 Redenção,29
150616 Rio Maria,2
150618 Rondon do Pará,5
150619 Rurópolis,3
150620 Salinópolis,31
150630 Salvaterra,3
150635 Santa Bárbara do Pará,18
150640 Santa Cruz do Arari,7
150650 Santa Izabel do Pará,121
150655 Santa Luzia do Pará,5
150658 Santa Maria das Barreiras,2
150660 Santa Maria do Pará,4
150670 Santana do Araguaia,4
150680 Santarém,134
150690 Santarém Novo,4
150700 Santo Antônio do Tauá,9
150710 São Caetano de Odivelas,6
150715 São Domingos do Araguaia,1
150720 São Domingos do Capim,6
150730 São Félix do Xingu,7
150740 São Francisco do Pará,12
150745 São Geraldo do Araguaia,5
150746 São João da Ponta,2
150747 São João de Pirabas,5
150750 São João do Araguaia,4
150760 São Miguel do Guamá,17
150770 São Sebastião da Boa Vista,6
150780 Senador José Porfírio,1
150790 Soure,22
150795 Tailândia,9
150796 Terra Alta,5
150797 Terra Santa,3
150800 Tomé-Açu,21
150803 Tracuateua,9
150805 Trairão,1
150808 Tucumã,10
150810 Tucuruí,51
150812 Ulianópolis,5
150815 Uruará,8
150820 Vigia,30
150830 Viseu,9
150835 Vitória do Xingu,5
150840 Xinguara,8
160010 Amapá,2
160020 Calçoene,1
160027 Laranjal do Jari,16
160030 Macapá,242
160050 Oiapoque,1
160015 Pedra Branca do Amapari,2
160053 Porto Grande,4
160060 Santana,13
160070 Tartarugalzinho,1
170025 Abreulândia,1
170040 Almas,2
170070 Alvorada,1
170190 Araguacema,1
170200 Araguaçu,1
170210 Araguaína,57
170215 Araguanã,1
170220 Araguatins,3
170255 Augustinópolis,3
170270 Aurora do Tocantins,2
170290 Axixá do Tocantins,2
170310 Barrolândia,1
170380 Buriti do Tocantins,1
170386 Cariri do Tocantins,1
170550 Colinas do Tocantins,5
171670 Colméia,1
170560 Conceição do Tocantins,1
170600 Couto Magalhães,1
170610 Cristalândia,2
170700 Dianópolis,1
170820 Formoso do Araguaia,3
170825 Fortaleza do Tabocão,1
170830 Goianorte,1
170900 Goiatins,3
170930 Guaraí,1
170950 Gurupi,9
171050 Itacajá,2
171110 Itaporã do Tocantins,1
171190 Lagoa da Confusão,2
171200 Lajeado,1
171215 Lavandeira,1
171320 Miracema do Tocantins,1
171420 Natividade,1
171430 Nazaré,2
171500 Nova Rosalândia,1
172100 Palmas,48
171610 Paraíso do Tocantins,4
171650 Pedro Afonso,2
171660 Peixe,1
171750 Pium,1
171780 Ponte Alta do Bom Jesus,1
171820 Porto Nacional,18
171830 Praia Norte,1
172010 São Bento do Tocantins,1
172015 São Félix do Tocantins,1
172020 São Miguel do Tocantins,1
172090 Taguatinga,4
172120 Tocantinópolis,2
172210 Xambioá,2
210005 Açailândia,39
210010 Afonso Cunha,3
210015 Água Doce do Maranhão,1
210020 Alcântara,3
210030 Aldeias Altas,4
210040 Altamira do Maranhão,2
210043 Alto Alegre do Maranhão,3
210047 Alto Alegre do Pindaré,7
210050 Alto Parnaíba,1
210055 Amapá do Maranhão,2
210060 Amarante do Maranhão,18
210070 Anajatuba,3
210083 Apicum-Açu,4
210087 Araguanã,1
210090 Araioses,8
210095 Arame,5
210100 Arari,5
210110 Axixá,4
210120 Bacabal,32
210125 Bacabeira,1
210130 Bacuri,6
210135 Bacurituba,1
210140 Balsas,32
210150 Barão de Grajaú,2
210160 Barra do Corda,30
210170 Barreirinhas,12
210190 Bequimão,5
210193 Bernardo do Mearim,3
210200 Bom Jardim,11
210203 Bom Jesus das Selvas,3
210207 Bom Lugar,2
210210 Brejo,4
210220 Buriti,4
210230 Buriti Bravo,1
210232 Buriticupu,10
210235 Buritirana,2
210240 Cajapió,1
210250 Cajari,2
210255 Campestre do Maranhão,5
210260 Cândido Mendes,4
210270 Cantanhede,3
210275 Capinzal do Norte,2
210280 Carolina,3
210290 Carutapera,3
210300 Caxias,78
210310 Cedral,1
210315 Centro do Guilherme,5
210317 Centro Novo do Maranhão,2
210320 Chapadinha,22
210325 Cidelândia,1
210330 Codó,36
210340 Coelho Neto,18
210350 Colinas,2
210355 Conceição do Lago-Açu,1
210360 Coroatá,32
210370 Cururupu,13
210375 Davinópolis,1
210380 Dom Pedro,4
210390 Duque Bacelar,2
210400 Esperantinópolis,2
210405 Estreito,5
210408 Fernando Falcão,12
210410 Fortaleza dos Nogueiras,2
210420 Fortuna,3
210430 Godofredo Viana,1
210440 Gonçalves Dias,3
210450 Governador Archer,3
210455 Governador Edison Lobão,4
210460 Governador Eugênio Barros,4
210465 Governador Newton Bello,1
210467 Governador Nunes Freire,2
210470 Graça Aranha,1
210480 Grajaú,21
210490 Guimarães,2
210510 Icatu,3
210515 Igarapé do Meio,5
210520 Igarapé Grande,3
210530 Imperatriz,74
210535 Itaipava do Grajaú,2
210540 Itapecuru Mirim,11
210542 Itinga do Maranhão,5
210545 Jatobá,2
210547 Jenipapo dos Vieiras,6
210550 João Lisboa,5
210560 Joselândia,3
210565 Junco do Maranhão,1
210570 Lago da Pedra,19
210580 Lago do Junco,2
210594 Lago dos Rodrigues,3
210590 Lago Verde,2
210592 Lagoa do Mato,1
210600 Lima Campos,1
210620 Luís Domingues,2
210630 Magalhães de Almeida,2
210632 Maracaçumé,3
210635 Marajá do Sena,1
210637 Maranhãozinho,3
210640 Mata Roma,1
210650 Matinha,6
210663 Matões do Norte,3
210675 Miranda do Norte,4
210680 Mirinzal,3
210690 Monção,16
210700 Montes Altos,1
210710 Morros,2
210720 Nina Rodrigues,1
210735 Nova Olinda do Maranhão,4
210740 Olho d'Água das Cunhãs,4
210745 Olinda Nova do Maranhão,2
210750 Paço do Lumiar,21
210760 Palmeirândia,2
210770 Paraibano,2
210780 Parnarama,2
210790 Passagem Franca,2
210800 Pastos Bons,3
210805 Paulino Neves,5
210810 Paulo Ramos,4
210820 Pedreiras,5
210825 Pedro do Rosário,5
210830 Penalva,8
210840 Peri Mirim,5
210845 Peritoró,8
210850 Pindaré-Mirim,15
210860 Pinheiro,40
210870 Pio XII,11
210880 Pirapemas,5
210890 Poção de Pedras,2
210900 Porto Franco,6
210910 Presidente Dutra,8
210920 Presidente Juscelino,1
210927 Presidente Sarney,1
210945 Raposa,7
210950 Riachão,2
210955 Ribamar Fiquene,2
210960 Rosário,15
210975 Santa Filomena do Maranhão,1
210980 Santa Helena,5
210990 Santa Inês,34
211000 Santa Luzia,10
211003 Santa Luzia do Paruá,5
211010 Santa Quitéria do Maranhão,4
211020 Santa Rita,3
211030 Santo Antônio dos Lopes,2
211040 São Benedito do Rio Preto,2
211050 São Bento,7
211060 São Bernardo,7
211065 São Domingos do Azeitão,1
211070 São Domingos do Maranhão,4
211090 São Francisco do Maranhão,1
211100 São João Batista,2
211102 São João do Carú,2
211107 São João do Soter,1
211110 São João dos Patos,4
211120 São José de Ribamar,57
211125 São José dos Basílios,3
211130 São Luís,1081
211140 São Luís Gonzaga do Maranhão,4
211150 São Mateus do Maranhão,27
211153 São Pedro da Água Branca,1
211160 São Raimundo das Mangabeiras,1
211163 São Raimundo do Doca Bezerra,1
211170 São Vicente Ferrer,2
211174 Senador Alexandre Costa,1
211176 Senador La Rocque,1
211178 Serrano do Maranhão,1
211180 Sítio Novo,4
211200 Tasso Fragoso,1
211210 Timbiras,2
211220 Timon,38
211223 Trizidela do Vale,14
211230 Tuntum,5
211240 Turiaçu,4
211245 Turilândia,2
211250 Tutóia,5
211260 Urbano Santos,4
211270 Vargem Grande,17
211280 Viana,20
211285 Vila Nova dos Martírios,1
211290 Vitória do Mearim,14
211300 Vitorino Freire,11
211400 Zé Doca,16
220020 Água Branca,3
220025 Alagoinha do Piauí,1
220030 Alto Longá,1
220040 Altos,5
220045 Alvorada do Gurguéia,1
220050 Amarante,1
220060 Angical do Piauí,1
220070 Anísio de Abreu,1
220080 Antônio Almeida,1
220100 Arraial,1
220120 Barras,2
220150 Batalha,2
220190 Bom Jesus,3
220191 Bom Princípio do Piauí,4
220192 Bonfim do Piauí,1
220194 Boqueirão do Piauí,3
220200 Buriti dos Lopes,2
220211 Campo Alegre do Fidalgo,1
220220 Campo Maior,4
220230 Canto do Buriti,3
220240 Capitão de Campos,3
220245 Capitão Gervásio Oliveira,1
220255 Caridade do Piauí,1
220260 Castelo do Piauí,4
220270 Cocal,3
220271 Cocal de Telha,1
220273 Coivaras,1
220275 Colônia do Gurguéia,2
220280 Conceição do Canindé,1
220310 Cristino Castro,2
220320 Curimatá,2
220323 Currais,1
220330 Demerval Lobão,5
220340 Dom Expedito Lopes,1
220345 Dom Inocêncio,1
220350 Elesbão Veloso,3
220360 Eliseu Martins,1
220370 Esperantina,9
220385 Floresta do Piauí,2
220390 Floriano,10
220415 Francisco Macedo,1
220420 Francisco Santos,1
220430 Fronteiras,1
220435 Geminiano,1
220440 Gilbués,1
220450 Guadalupe,1
220465 Ilha Grande,1
220470 Inhuma,2
220480 Ipiranga do Piauí,3
220490 Isaías Coelho,1
220500 Itainópolis,2
220510 Itaueira,1
220515 Jacobina do Piauí,1
220520 Jaicós,2
220527 Jatobá do Piauí,1
220545 Joca Marques,1
220550 José de Freitas,2
220551 Juazeiro do Piauí,1
220558 Lagoa do Piauí,1
220559 Lagoa do Sítio,2
220560 Landri Sales,1
220570 Luís Correia,7
220580 Luzilândia,4
220605 Massapê do Piauí,1
220610 Matias Olímpio,1
220620 Miguel Alves,6
220635 Milton Brandão,2
220640 Monsenhor Gil,1
220660 Monte Alegre do Piauí,1
220669 Murici dos Portelas,1
220670 Nazaré do Piauí,1
220672 Nazária,2
220680 Nossa Senhora dos Remédios,1
220700 Oeiras,10
220730 Paes Landim,1
220740 Palmeira do Piauí,1
220755 Paquetá,1
220770 Parnaíba,54
220777 Patos do Piauí,1
220779 Pau D'Arco do Piauí,1
220780 Paulistana,3
220790 Pedro II,3
220800 Picos,13
220810 Pimenteiras,3
220830 Piracuruca,7
220840 Piripiri,10
220850 Porto,1
220870 Redenção do Gurguéia,1
220880 Regeneração,2
220887 Ribeira do Piauí,1
220940 Santo Antônio de Lisboa,1
220960 São Félix do Piauí,1
220975 São Gonçalo do Gurguéia,1
220985 São João da Canabrava,1
220987 São João da Fronteira,1
220995 São João da Varjota,2
220997 São João do Arraial,3
221000 São João do Piauí,2
221005 São José do Divino,2
221010 São José do Peixe,1
221037 São Luis do Piauí,1
221040 São Miguel do Tapuio,2
221060 São Raimundo Nonato,7
221063 Sebastião Leal,2
221065 Sigefredo Pacheco,2
221080 Simplício Mendes,3
221095 Tamboril do Piauí,1
221100 Teresina,483
221110 União,4
221120 Uruçuí,5
221130 Valença do Piauí,3
221135 Várzea Branca,1
221140 Várzea Grande,1
230010 Abaiara,2
230015 Acarape,2
230020 Acaraú,18
230030 Acopiara,12
230040 Aiuaba,1
230050 Alcântaras,1
230060 Altaneira,5
230070 Alto Santo,2
230075 Amontada,4
230080 Antonina do Norte,5
230090 Apuiarés,3
230100 Aquiraz,36
230110 Aracati,17
230120 Aracoiaba,6
230130 Araripe,1
230140 Aratuba,6
230160 Assaré,1
230170 Aurora,3
230185 Banabuiú,2
230190 Barbalha,22
230200 Barro,4
230205 Barroquinha,6
230210 Baturité,10
230220 Beberibe,12
230230 Bela Cruz,2
230240 Boa Viagem,4
230250 Brejo Santo,9
230260 Camocim,24
230270 Campos Sales,6
230280 Canindé,16
230290 Capistrano,1
230300 Caridade,4
230310 Cariré,9
230320 Caririaçu,5
230330 Cariús,2
230340 Carnaubal,2
230350 Cascavel,24
230360 Catarina,1
230365 Catunda,1
230370 Caucaia,149
230380 Cedro,5
230390 Chaval,9
230393 Choró,1
230395 Chorozinho,5
230400 Coreaú,6
230410 Crateús,23
230420 Crato,33
230423 Croatá,4
230425 Cruz,2
230426 Deputado Irapuan Pinheiro,2
230428 Eusébio,33
230430 Farias Brito,2
230435 Forquilha,7
230440 Fortaleza,2081
230445 Fortim,2
230450 Frecheirinha,9
230460 General Sampaio,1
230465 Graça,5
230470 Granja,15
230480 Granjeiro,4
230490 Groaíras,9
230495 Guaiúba,4
230500 Guaraciaba do Norte,7
230510 Guaramiranga,2
230520 Hidrolândia,5
230523 Horizonte,44
230526 Ibaretama,2
230530 Ibiapina,5
230533 Ibicuitinga,4
230535 Icapuí,2
230540 Icó,10
230550 Iguatu,20
230560 Independência,5
230580 Ipu,7
230590 Ipueiras,10
230600 Iracema,1
230610 Irauçuba,11
230625 Itaitinga,132
230630 Itapagé,8
230640 Itapipoca,32
230650 Itapiúna,2
230655 Itarema,6
230660 Itatira,8
230680 Jaguaribara,2
230690 Jaguaribe,8
230700 Jaguaruana,5
230710 Jardim,3
230720 Jati,1
230730 Juazeiro do Norte,95
230740 Jucás,1
230750 Lavras da Mangabeira,4
230760 Limoeiro do Norte,9
230765 Maracanaú,150
230770 Maranguape,24
230780 Marco,6
230790 Martinópole,4
230800 Massapê,15
230810 Mauriti,7
230820 Meruoca,1
230830 Milagres,8
230835 Milhã,1
230837 Miraíma,4
230840 Missão Velha,12
230850 Mombaça,10
230860 Monsenhor Tabosa,7
230870 Morada Nova,10
230880 Moraújo,3
230890 Morrinhos,5
230900 Mucambo,8
230920 Nova Olinda,3
230930 Nova Russas,21
230940 Novo Oriente,3
230945 Ocara,19
230950 Orós,3
230960 Pacajus,26
230970 Pacatuba,14
230990 Pacujá,3
231000 Palhano,1
231010 Palmácia,1
231020 Paracuru,14
231025 Paraipaba,11
231030 Parambu,9
231040 Paramoti,3
231050 Pedra Branca,6
231060 Penaforte,2
231070 Pentecoste,9
231080 Pereiro,3
231085 Pindoretama,11
231090 Piquet Carneiro,4
231095 Pires Ferreira,1
231100 Poranga,2
231126 Quiterianópolis,4
231130 Quixadá,29
231135 Quixelô,2
231140 Quixeramobim,15
231150 Quixeré,2
231160 Redenção,3
231170 Reriutaba,2
231180 Russas,14
231190 Saboeiro,1
231195 Salitre,3
231220 Santa Quitéria,10
231200 Santana do Acaraú,10
231210 Santana do Cariri,4
231230 São Benedito,10
231240 São Gonçalo do Amarante,15
231260 São Luís do Curu,10
231270 Senador Pompeu,5
231280 Senador Sá,1
231290 Sobral,185
231300 Solonópole,7
231310 Tabuleiro do Norte,13
231320 Tamboril,7
231325 Tarrafas,1
231330 Tauá,21
231335 Tejuçuoca,3
231340 Tianguá,12
231350 Trairi,13
231355 Tururu,1
231360 Ubajara,1
231370 Umari,1
231375 Umirim,5
231380 Uruburetama,6
231390 Uruoca,3
231395 Varjota,8
231400 Várzea Alegre,1
231410 Viçosa do Ceará,7
240020 Açu,8
240070 Alto do Rodrigues,5
240090 Antônio Martins,3
240100 Apodi,10
240110 Areia Branca,7
240120 Arês,2
240130 Augusto Severo,2
240140 Baía Formosa,1
240145 Baraúna,5
240150 Barcelona,1
240170 Bom Jesus,2
240180 Brejinho,1
240185 Caiçara do Norte,1
240200 Caicó,25
240210 Campo Redondo,1
240220 Canguaretama,5
240230 Caraúbas,5
240240 Carnaúba dos Dantas,1
240250 Carnaubais,1
240260 Ceará-Mirim,17
240300 Cruzeta,3
240310 Currais Novos,13
240360 Extremoz,16
240370 Felipe Guerra,2
240380 Florânia,2
240410 Galinhos,1
240420 Goianinha,9
240430 Governador Dix-Sept Rosado,1
240440 Grossos,2
240450 Guamaré,6
240460 Ielmo Marinho,1
240470 Ipanguaçu,3
240490 Itaú,1
240520 Janduís,2
240540 Japi,1
240550 Jardim de Angicos,1
240580 João Câmara,8
240610 Jucurutu,5
240620 Lagoa d'Anta,4
240650 Lagoa Nova,1
240670 Lajes,1
240710 Macaíba,37
240720 Macau,12
240725 Major Sales,2
240740 Martins,2
240750 Maxaranguape,1
240760 Messias Targino,1
240770 Montanhas,2
240780 Monte Alegre,5
240800 Mossoró,113
240810 Natal,565
240820 Nísia Floresta,36
240830 Nova Cruz,6
240840 Olho-d'Água do Borges,1
240860 Paraná,2
240880 Parazinho,1
240890 Parelhas,1
240325 Parnamirim,71
240910 Passa e Fica,3
240930 Patu,2
240940 Pau dos Ferros,3
240980 Pedro Velho,4
240990 Pendências,3
241020 Portalegre,1
241025 Porto do Mangue,2
241040 Pureza,3
241060 Rafael Godeiro,2
241100 Rodolfo Fernandes,2
241120 Santa Cruz,9
241140 Santana do Matos,3
241150 Santo Antônio,5
241160 São Bento do Norte,1
241190 São Francisco do Oeste,3
241200 São Gonçalo do Amarante,32
241210 São João do Sabugi,1
241220 São José de Mipibu,19
241230 São José do Campestre,2
241250 São Miguel,3
241255 São Miguel do Gostoso,2
241260 São Paulo do Potengi,5
241290 São Tomé,1
241300 São Vicente,2
241310 Senador Elói de Souza,1
241330 Serra de São Bento,2
241360 Severiano Melo,2
241390 Taipu,1
241400 Tangará,2
241410 Tenente Ananias,1
241105 Tibau,1
241420 Tibau do Sul,5
241440 Touros,2
241450 Umarizal,4
241470 Várzea,1
241480 Vera Cruz,2
241490 Viçosa,2
250010 Água Branca,1
250030 Alagoa Grande,13
250053 Alcantil,2
250060 Alhandra,1
250077 Aparecida,3
250090 Arara,1
250100 Araruna,1
250110 Areia,4
250115 Areia de Baraúnas,1
250120 Areial,1
250130 Aroeiras,4
250135 Assunção,1
250150 Bananeiras,2
250153 Baraúna,1
250160 Barra de Santa Rosa,5
250157 Barra de Santana,1
