Município,Casos de HIV
280480 Nossa Senhora do Socorro,44
280490 Pacatuba,1
280520 Pinhão,1
280530 Pirambu,2
280540 Poço Redondo,3
280550 Poço Verde,1
280570 Propriá,8
280580 Riachão do Dantas,1
280590 Riachuelo,1
280620 Salgado,3
280670 São Cristóvão,28
280690 São Francisco,4
280710 Simão Dias,5
280730 Telha,2
280740 Tobias Barreto,5
280750 Tomar do Geru,1
280760 Umbaúba,5
290010 Abaíra,1
290035 Adustina,1
290070 Alagoinhas,14
290090 Almadina,1
290100 Amargosa,4
290110 Amélia Rodrigues,3
290115 América Dourada,2
290140 Angical,1
290180 Antônio Gonçalves,2
290195 Apuarema,1
290205 Araças,1
290210 Araci,4
290220 Aramari,1
290225 Arataca,2
290230 Aratuípe,1
290240 Aurelino Leal,2
290260 Baixa Grande,1
290290 Barra do Choça,1
290300 Barra do Mendes,1
290320 Barreiras,28
290330 Barro Preto,1
290327 Barrocas,2
290340 Belmonte,9
290380 Boa Vista do Tupim,1
290390 Bom Jesus da Lapa,4
290405 Bonito,2
290460 Brumado,5
290470 Buerarema,3
290480 Caatiba,1
290485 Cabaceiras do Paraguaçu,2
290490 Cachoeira,3
290520 Caetité,2
290540 Cairu,1
290550 Caldeirão Grande,1
290560 Camacan,5
290570 Camaçari,51
290600 Campo Formoso,1
290630 Canavieiras,5
290650 Candeias,11
290670 Cândido Sales,1
290680 Cansanção,1
290687 Capim Grosso,2
290720 Casa Nova,2
290730 Castro Alves,3
290750 Catu,3
290780 Cícero Dantas,1
290790 Cipó,1
290800 Coaraci,1
290820 Conceição da Feira,2
290830 Conceição do Almeida,1
290840 Conceição do Coité,1
290850 Conceição do Jacuípe,3
290890 Coração de Maria,2
290980 Cruz das Almas,6
290990 Curaçá,2
291005 Dias d'Ávila,16
291020 Dom Macedo Costa,1
291050 Entre Rios,6
291060 Esplanada,3
291070 Euclides da Cunha,2
291072 Eunápolis,23
291080 Feira de Santana,104
291110 Formosa do Rio Preto,4
291120 Gandu,3
291150 Gongogi,1
291160 Governador Mangabeira,3
291170 Guanambi,8
291180 Guaratinga,1
291190 Iaçu,1
291210 Ibicaraí,1
291220 Ibicoara,1
291230 Ibicuí,2
291250 Ibipitanga,1
291270 Ibirapitanga,2
291280 Ibirapuã,1
291290 Ibirataia,6
291310 Ibititá,1
291320 Ibotirama,5
291345 Igrapiúna,1
291360 Ilhéus,32
291370 Inhambupe,4
291380 Ipecaetá,1
291390 Ipiaú,6
291420 Irajuba,1
291440 Iraquara,1
291450 Irará,3
291460 Irecê,5
291465 Itabela,7
291470 Itaberaba,3
291480 Itabuna,41
291510 Itagi,1
291550 Itajuípe,2
291560 Itamaraju,13
291580 Itambé,3
291590 Itanagra,3
291600 Itanhém,4
291610 Itaparica,3
291620 Itapé,1
291630 Itapebi,3
291640 Itapetinga,6
291650 Itapicuru,1
291660 Itapitanga,1
291670 Itaquara,2
291690 Itiruçu,1
291700 Itiúba,1
291720 Ituaçu,2
291740 Jacaraci,1
291750 Jacobina,1
291760 Jaguaquara,1
291780 Jaguaripe,2
291800 Jequié,26
291820 Jiquiriçá,1
291830 Jitaúna,1
291835 João Dourado,3
291840 Juazeiro,47
291880 Laje,1
291900 Lajedinho,1
291915 Lapão,1
291920 Lauro de Freitas,40
291930 Lençóis,4
291955 Luís Eduardo Magalhães,13
291970 Macarani,1
291992 Madre de Deus,5
292010 Mairi,1
292050 Maracás,4
292060 Maragogipe,2
292090 Mascote,2
292100 Mata de São João,5
292105 Matina,1
292110 Medeiros Neto,5
292120 Miguel Calmon,3
292130 Milagres,3
292150 Monte Santo,3
292170 Morro do Chapéu,1
292200 Mucuri,4
292230 Muritiba,3
292240 Mutuípe,2
292250 Nazaré,7
292260 Nilo Peçanha,1
292275 Nova Ibiá,2
292280 Nova Itarana,2
292290 Nova Soure,1
292300 Nova Viçosa,7
292305 Novo Triunfo,1
292310 Olindina,1
292320 Oliveira dos Brejinhos,1
292350 Palmeiras,1
292380 Paripiranga,1
292390 Pau Brasil,1
292400 Paulo Afonso,10
292430 Piatã,1
292460 Pindobaçu,2
292500 Planalto,3
292510 Poções,4
292520 Pojuca,5
292525 Ponto Novo,1
292530 Porto Seguro,41
292550 Prado,4
292575 Presidente Tancredo Neves,2
292595 Rafael Jambeiro,3
292600 Remanso,1
292620 Riachão das Neves,1
292630 Riachão do Jacuípe,2
292660 Ribeira do Pombal,3
292690 Rio do Pires,1
292700 Rio Real,5
292710 Rodelas,1
292720 Ruy Barbosa,1
292730 Salinas da Margarida,1
292740 Salvador,798
292770 Santa Cruz Cabrália,6
292790 Santa Inês,1
292805 Santa Luzia,1
292810 Santa Maria da Vitória,1
292840 Santa Rita de Cássia,1
292800 Santaluz,3
292820 Santana,2
292860 Santo Amaro,10
292870 Santo Antônio de Jesus,15
292880 Santo Estêvão,2
292890 São Desidério,1
292895 São Domingos,1
292900 São Félix,1
292905 São Félix do Coribe,1
292920 São Francisco do Conde,5
292925 São Gabriel,1
292930 São Gonçalo dos Campos,2
292935 São José da Vitória,1
292937 São José do Jacuípe,1
292950 São Sebastião do Passé,1
292975 Saubara,1
292990 Seabra,2
293010 Senhor do Bonfim,6
293020 Sento Sé,3
293050 Serrinha,5
293070 Simões Filho,19
293075 Sítio do Mato,3
293077 Sobradinho,1
293100 Tanhaçu,1
293110 Tanquinho,1
293135 Teixeira de Freitas,41
293150 Teofilândia,2
293190 Tucano,1
293200 Uauá,1
293210 Ubaíra,1
293240 Uibaí,1
293250 Una,8
293260 Urandi,1
293290 Valença,16
293320 Vera Cruz,6
293330 Vitória da Conquista,42
293345 Wanderley,1
293350 Wenceslau Guimarães,1
293360 Xique-Xique,3
310020 Abaeté,4
310070 Água Comprida,1
310090 Águas Formosas,7
310140 Albertina,1
310150 Além Paraíba,9
310160 Alfenas,16
310163 Alfredo Vasconcelos,1
310170 Almenara,2
310190 Alpinópolis,2
310210 Alto Rio Doce,1
310250 Amparo do Serra,1
310260 Andradas,3
310300 Antônio Dias,1
310340 Araçuaí,5
310350 Araguari,17
310400 Araxá,32
310410 Arceburgo,2
310420 Arcos,1
310430 Areado,1
310440 Argirita,1
310470 Ataléia,2
310500 Baldim,1
310510 Bambuí,1
310520 Bandeira,1
310540 Barão de Cocais,2
310560 Barbacena,13
310590 Barroso,1
310600 Bela Vista de Minas,2
310610 Belmiro Braga,2
310620 Belo Horizonte,620
310670 Betim,54
310690 Bicas,2
310710 Boa Esperança,2
310730 Bocaiúva,8
310780 Bom Jesus do Galho,1
310830 Borda da Mata,1
310880 Braúnas,1
310900 Brumadinho,1
310910 Bueno Brandão,1
310940 Buritizeiro,3
310950 Cabo Verde,1
310960 Cachoeira da Prata,1
310270 Cachoeira de Pajeú,1
310990 Caetanópolis,2
311000 Caeté,5
311050 Camanducaia,1
311060 Cambuí,3
311070 Cambuquira,1
311110 Campina Verde,3
311115 Campo Azul,1
311120 Campo Belo,4
311140 Campo Florido,4
311160 Campos Gerais,1
311200 Candeias,2
311230 Capelinha,4
311250 Capim Branco,1
311260 Capinópolis,1
311265 Capitão Andrade,1
311310 Caranaíba,1
311320 Carandaí,2
311330 Carangola,3
311340 Caratinga,4
311370 Carlos Chagas,1
311390 Carmo da Cachoeira,1
311420 Carmo do Cajuru,3
311430 Carmo do Paranaíba,2
311440 Carmo do Rio Claro,2
311450 Carmópolis de Minas,1
311480 Carvalhos,3
311510 Cássia,1
311530 Cataguases,5
311540 Catas Altas da Noruega,1
311545 Catuji,1
311550 Caxambu,3
311560 Cedro do Abaeté,1
311600 Chalé,1
311610 Chapada do Norte,1
311730 Conceição das Alagoas,2
311750 Conceição do Mato Dentro,4
311760 Conceição do Pará,2
311770 Conceição do Rio Verde,1
311787 Confins,1
311790 Congonhal,2
311800 Congonhas,5
311830 Conselheiro Lafaiete,15
311840 Conselheiro Pena,1
311860 Contagem,98
311910 Corinto,1
311940 Coronel Fabriciano,20
311980 Córrego Danta,2
312087 Curral de Dentro,1
312090 Curvelo,11
312100 Datas,1
312160 Diamantina,2
312220 Divinolândia de Minas,1
312230 Divinópolis,30
312247 Dom Bosco,1
312330 Dores do Turvo,1
312360 Elói Mendes,1
312400 Ervália,1
312410 Esmeraldas,14
312420 Espera Feliz,3
312450 Estiva,2
312480 Estrela do Sul,1
312490 Eugenópolis,2
312510 Extrema,1
312560 Felisburgo,1
312570 Felixlândia,2
312580 Fernandes Tourinho,1
312610 Formiga,7
312640 Fortuna de Minas,1
312670 Francisco Sá,1
312700 Fronteira,2
312705 Fronteira dos Vales,1
312710 Frutal,16
312730 Galiléia,1
312770 Governador Valadares,51
312870 Guaxupé,7
312880 Guidoval,1
312900 Guiricema,4
312930 Iapu,1
312950 Ibiá,3
312980 Ibirité,17
313005 Icaraí de Minas,1
313010 Igarapé,8
313055 Imbé de Minas,2
313090 Inhapim,3
313100 Inhaúma,1
313115 Ipaba,1
313120 Ipanema,1
313130 Ipatinga,30
313140 Ipiaçu,1
313150 Ipuiúna,2
313160 Iraí de Minas,3
313170 Itabira,6
313190 Itabirito,6
313220 Itaguara,1
313240 Itajubá,8
313250 Itamarandiba,3
313270 Itambacuri,2
313300 Itamonte,1
313320 Itanhomi,1
313330 Itaobim,5
313340 Itapagipe,3
313350 Itapecerica,2
313360 Itapeva,1
313370 Itatiaiuçu,2
313375 Itaú de Minas,2
313380 Itaúna,18
313400 Itinga,1
313420 Ituiutaba,16
313430 Itumirim,1
313440 Iturama,7
313470 Jacinto,1
313505 Jaíba,1
313510 Janaúba,2
313520 Januária,4
313545 Jenipapo de Minas,1
313550 Jequeri,1
313600 Joaíma,2
313620 João Monlevade,9
313630 João Pinheiro,6
313655 José Raydan,1
313665 Juatuba,2
313670 Juiz de Fora,109
313690 Juruaia,1
313720 Lagoa da Prata,2
313740 Lagoa Dourada,1
313750 Lagoa Formosa,3
313753 Lagoa Grande,1
313760 Lagoa Santa,6
313780 Lambari,5
313820 Lavras,13
313830 Leandro Ferreira,1
313840 Leopoldina,7
313860 Lima Duarte,1
313867 Luisburgo,1
313868 Luislândia,1
313880 Luz,7
313890 Machacalis,1
313900 Machado,2
313930 Manga,1
313940 Manhuaçu,16
313950 Manhumirim,6
313960 Mantena,2
313980 Mar de Espanha,1
314000 Mariana,10
314010 Marilac,1
314015 Mário Campos,1
314070 Mateus Leme,4
314080 Matias Barbosa,2
314110 Matozinhos,10
314140 Medina,2
314220 Miraí,1
314240 Moema,1
314270 Montalvânia,1
314280 Monte Alegre de Minas,1
314290 Monte Azul,3
314310 Monte Carmelo,6
314330 Montes Claros,34
314350 Morada Nova de Minas,5
314380 Munhoz,1
314390 Muriaé,30
314400 Mutum,1
314410 Muzambinho,1
314430 Nanuque,4
314437 Natalândia,1
314450 Nazareno,1
314460 Nepomuceno,2
314480 Nova Lima,8
314520 Nova Serrana,11
314530 Novo Cruzeiro,1
314535 Novo Oriente de Minas,1
314545 Olhos-d'Água,1
314560 Oliveira,12
314580 Onça de Pitangui,1
314587 Orizânia,4
314590 Ouro Branco,3
314600 Ouro Fino,2
314610 Ouro Preto,4
314630 Padre Paraíso,3
314710 Pará de Minas,10
314700 Paracatu,4
314730 Paraisópolis,4
314740 Paraopeba,3
314760 Passa Quatro,2
314790 Passos,12
314795 Patis,2
314800 Patos de Minas,14
314810 Patrocínio,1
314870 Pedra Azul,1
314910 Pedralva,1
314930 Pedro Leopoldo,10
314950 Pequeri,1
315020 Piedade de Ponte Nova,1
315080 Piranga,1
315100 Piranguinho,1
315110 Pirapetinga,1
315120 Pirapora,6
315140 Pitangui,2
315160 Planura,2
315180 Poços de Caldas,12
315200 Pompéu,4
315210 Ponte Nova,6
315217 Ponto dos Volantes,1
315220 Porteirinha,1
315250 Pouso Alegre,24
315260 Pouso Alto,2
315280 Prata,8
315290 Pratápolis,1
315330 Presidente Kubitschek,1
315360 Prudente de Morais,4
315370 Quartel Geral,1
315390 Raposos,2
315400 Raul Soares,1
315410 Recreio,1
315430 Resplendor,2
315440 Ressaquinha,1
315445 Riachinho,1
315460 Ribeirão das Neves,37
315480 Rio Acima,2
315490 Rio Casca,3
315510 Rio do Prado,1
315540 Rio Novo,4
315590 Rio Preto,1
315620 Rochedo de Minas,1
315630 Rodeiro,2
315640 Romaria,1
315660 Rubim,1
315670 Sabará,24
315690 Sacramento,3
315780 Santa Luzia,42
315820 Santa Maria do Suaçuí,1
315960 Santa Rita do Sapucaí,4
315980 Santa Vitória,4
315860 Santana do Deserto,1
315880 Santana do Jacaré,2
315890 Santana do Manhuaçu,1
315895 Santana do Paraíso,4
315900 Santana do Riacho,1
315990 Santo Antônio do Amparo,5
316040 Santo Antônio do Monte,3
316070 Santos Dumont,4
316095 São Domingos das Dores,1
316100 São Domingos do Prata,1
316110 São Francisco,1
316120 São Francisco de Paula,1
316130 São Francisco de Sales,1
316140 São Francisco do Glória,1
316150 São Geraldo,1
316160 São Geraldo da Piedade,1
316200 São Gonçalo do Sapucaí,3
316210 São Gotardo,5
316245 São João das Missões,1
316250 São João del Rei,7
316255 São João do Manhuaçu,2
316292 São Joaquim de Bicas,5
316295 São José da Lapa,5
316310 São José da Varginha,1
316370 São Lourenço,3
316400 São Pedro dos Ferros,1
316440 São Sebastião da Bela Vista,1
316470 São Sebastião do Paraíso,14
316510 São Tomás de Aquino,2
316530 São Vicente de Minas,1
316553 Sarzedo,7
316620 Senhora dos Remédios,1
316630 Sericita,1
316680 Serra do Salitre,1
316690 Serrania,1
316695 Serranópolis de Minas,1
316720 Sete Lagoas,55
316790 Tabuleiro,1
316850 Teixeiras,1
316860 Teófilo Otoni,20
316870 Timóteo,12
316880 Tiradentes,2
316900 Tocantins,1
316920 Tombos,2
316930 Três Corações,13
316935 Três Marias,1
316940 Três Pontas,8
316960 Tupaciguara,2
316970 Turmalina,2
316990 Ubá,14
317000 Ubaí,2
317010 Uberaba,64
317020 Uberlândia,195
317040 Unaí,7
317050 Urucânia,1
317070 Varginha,20
317075 Varjão de Minas,1
317090 Varzelândia,1
317100 Vazante,3
317120 Vespasiano,18
317130 Viçosa,7
317140 Vieiras,1
317160 Virgem da Lapa,1
317200 Visconde do Rio Branco,5
310000 Município ignorado - MG,1
320010 Afonso Cláudio,1
320016 Água Doce do Norte,1
320013 Águia Branca,2
320020 Alegre,5
320030 Alfredo Chaves,3
320035 Alto Rio Novo,1
320040 Anchieta,6
320060 Aracruz,7
320090 Barra de São Francisco,3
320110 Bom Jesus do Norte,3
320115 Brejetuba,2
320120 Cachoeiro de Itapemirim,40
320130 Cariacica,72
320140 Castelo,3
320150 Colatina,17
320160 Conceição da Barra,5
320170 Conceição do Castelo,1
320200 Dores do Rio Preto,1
320210 Ecoporanga,1
320220 Fundão,3
320230 Guaçuí,4
320240 Guarapari,27
320245 Ibatiba,3
320260 Iconha,2
320280 Itapemirim,4
320305 Jaguaré,5
320310 Jerônimo Monteiro,1
320313 João Neiva,2
320320 Linhares,12
320330 Mantenópolis,1
320332 Marataízes,5
320334 Marechal Floriano,1
320335 Marilândia,2
320340 Mimoso do Sul,2
320350 Montanha,5
320360 Mucurici,1
320370 Muniz Freire,1
320380 Muqui,4
320390 Nova Venécia,1
320400 Pancas,2
320405 Pedro Canário,5
320410 Pinheiros,5
320420 Piúma,3
320430 Presidente Kennedy,1
320435 Rio Bananal,3
320440 Rio Novo do Sul,1
320455 Santa Maria de Jetibá,4
320460 Santa Teresa,1
320465 São Domingos do Norte,2
320480 São José do Calçado,2
320490 São Mateus,33
320500 Serra,112
320501 Sooretama,4
320503 Vargem Alta,2
320510 Viana,19
320517 Vila Valério,2
320520 Vila Velha,136
320530 Vitória,92
330010 Angra dos Reis,33
330015 Aperibé,2
330020 Araruama,20
330022 Areal,3
330023 Armação dos Búzios,11
330025 Arraial do Cabo,6
330030 Barra do Piraí,17
330040 Barra Mansa,31
330045 Belford Roxo,114
330050 Bom Jardim,3
330060 Bom Jesus do Itabapoana,8
330070 Cabo Frio,38
330080 Cachoeiras de Macacu,8
330090 Cambuci,3
330100 Campos dos Goytacazes,142
330110 Cantagalo,2
330093 Carapebus,1
330120 Carmo,3
330130 Casimiro de Abreu,7
330095 Comendador Levy Gasparian,1
330140 Conceição de Macabu,1
330150 Cordeiro,3
330170 Duque de Caxias,242
330185 Guapimirim,15
330187 Iguaba Grande,6
330190 Itaboraí,44
330200 Itaguaí,31
330205 Italva,1
330210 Itaocara,5
330220 Itaperuna,19
330225 Itatiaia,1
330227 Japeri,17
330240 Macaé,51
330245 Macuco,4
330250 Magé,46
330260 Mangaratiba,5
330270 Maricá,31
330285 Mesquita,34
330290 Miguel Pereira,7
330300 Miracema,8
330310 Natividade,2
330320 Nilópolis,34
330330 Niterói,128
330340 Nova Friburgo,23
330350 Nova Iguaçu,271
330360 Paracambi,8
330370 Paraíba do Sul,7
330380 Parati,7
330385 Paty do Alferes,3
330390 Petrópolis,31
330395 Pinheiral,6
330400 Piraí,4
330410 Porciúncula,5
330411 Porto Real,4
330412 Quatis,3
330414 Queimados,35
330415 Quissamã,2
330420 Resende,22
330430 Rio Bonito,8
330440 Rio Claro,4
330450 Rio das Flores,1
330452 Rio das Ostras,43
330455 Rio de Janeiro,2203
330470 Santo Antônio de Pádua,4
330480 São Fidélis,1
330475 São Francisco de Itabapoana,2
330490 São Gonçalo,260
330500 São João da Barra,3
330510 São João de Meriti,123
330513 São José de Ubá,2
330520 São Pedro da Aldeia,10
330550 Saquarema,14
330555 Seropédica,16
330560 Silva Jardim,7
330570 Sumidouro,2
330575 Tanguá,3
330580 Teresópolis,34
330590 Trajano de Morais,1
330600 Três Rios,17
330610 Valença,11
330615 Varre-Sai,1
330620 Vassouras,5
330630 Volta Redonda,62
330000 Município ignorado - RJ,6
350010 Adamantina,1
350020 Adolfo,4
350030 Aguaí,3
350060 Águas de São Pedro,1
350070 Agudos,7
350075 Alambari,1
350090 Altair,1
350100 Altinópolis,1
350120 Álvares Florence,1
350130 Álvares Machado,2
350140 Álvaro de Carvalho,1
350160 Americana,30
350170 Américo Brasiliense,5
350190 Amparo,6
350210 Andradina,7
350220 Angatuba,2
350230 Anhembi,2
350250 Aparecida,5
350270 Apiaí,1
350275 Araçariguama,3
350280 Araçatuba,54
350290 Araçoiaba da Serra,4
350310 Arandu,1
350320 Araraquara,33
350330 Araras,20
350340 Arealva,1
350360 Areiópolis,1
350370 Ariranha,1
350380 Artur Nogueira,3
350390 Arujá,17
350400 Assis,12
350410 Atibaia,11
350420 Auriflama,1
350430 Avaí,2
350440 Avanhandava,3
350450 Avaré,14
350460 Bady Bassitt,3
350470 Balbinos,2
350510 Barbosa,1
350520 Bariri,2
350530 Barra Bonita,2
350540 Barra do Turvo,1
350550 Barretos,25
350560 Barrinha,1
350570 Barueri,58
350580 Bastos,1
350590 Batatais,4
350600 Bauru,97
350610 Bebedouro,20
350635 Bertioga,11
350650 Birigui,15
350660 Biritiba-Mirim,1
350670 Boa Esperança do Sul,1
350680 Bocaina,1
350700 Boituva,5
350710 Bom Jesus dos Perdões,1
350715 Bom Sucesso de Itararé,1
350730 Boracéia,1
350750 Botucatu,18
350760 Bragança Paulista,22
350775 Brejo Alegre,1
350780 Brodowski,2
350800 Buri,1
350810 Buritama,3
350820 Buritizal,1
350840 Cabreúva,2
350850 Caçapava,12
350860 Cachoeira Paulista,5
350900 Caieiras,17
350920 Cajamar,11
350925 Cajati,6
350940 Cajuru,5
350945 Campina do Monte Alegre,3
350950 Campinas,223
350960 Campo Limpo Paulista,10
350970 Campos do Jordão,4
350980 Campos Novos Paulista,2
350990 Cananéia,2
350995 Canas,1
351000 Cândido Mota,1
351020 Capão Bonito,3
351030 Capela do Alto,8
351040 Capivari,19
351050 Caraguatatuba,42
351060 Carapicuíba,70
351070 Cardoso,2
351080 Casa Branca,1
351090 Cássia dos Coqueiros,3
351100 Castilho,2
351110 Catanduva,16
351120 Catiguá,1
351130 Cedral,1
351140 Cerqueira César,6
351150 Cerquilho,4
351160 Cesário Lange,2
355720 Chavantes,2
351200 Colina,1
351210 Colômbia,1
351220 Conchal,1
351230 Conchas,2
351240 Cordeirópolis,1
351250 Coroados,1
351270 Corumbataí,1
351280 Cosmópolis,8
351290 Cosmorama,1
351300 Cotia,24
351310 Cravinhos,9
351320 Cristais Paulista,1
351340 Cruzeiro,13
351350 Cubatão,20
351370 Descalvado,3
351380 Diadema,58
351410 Dois Córregos,1
351430 Dourado,1
351440 Dracena,7
351450 Duartina,1
351460 Dumont,2
351500 Embu,33
351510 Embu-Guaçu,5
351515 Engenheiro Coelho,1
351518 Espírito Santo do Pinhal,1
351535 Euclides da Cunha Paulista,1
351540 Fartura,1
351560 Fernando Prestes,1
351550 Fernandópolis,9
351570 Ferraz de Vasconcelos,11
351580 Flora Rica,1
351590 Floreal,1
351610 Florínia,1
351620 Franca,52
351630 Francisco Morato,25
351640 Franco da Rocha,26
351660 Gália,1
351700 Getulina,1
351720 Guaiçara,1
351730 Guaimbê,1
351740 Guaíra,3
351750 Guapiaçu,5
351770 Guará,2
351780 Guaraçaí,1
351820 Guararapes,5
351830 Guararema,2
351840 Guaratinguetá,21
351850 Guareí,11
351860 Guariba,3
351870 Guarujá,90
351880 Guarulhos,178
351905 Holambra,3
351907 Hortolândia,38
351925 Iaras,3
351930 Ibaté,2
351940 Ibirá,3
351960 Ibitinga,8
351970 Ibiúna,5
351990 Iepê,1
352000 Igaraçu do Tietê,1
352010 Igarapava,1
352020 Igaratá,1
352030 Iguape,2
352042 Ilha Comprida,4
352044 Ilha Solteira,1
352040 Ilhabela,3
352050 Indaiatuba,38
352070 Indiaporã,2
352090 Ipaussu,1
352100 Iperó,4
352120 Iporanga,1
352130 Ipuã,2
352140 Iracemápolis,1
352160 Irapuru,2
352170 Itaberá,1
352180 Itaí,5
352210 Itanhaém,12
352215 Itaóca,1
352220 Itapecerica da Serra,11
352230 Itapetininga,21
352240 Itapeva,3
352250 Itapevi,41
352260 Itapira,8
352270 Itápolis,3
352280 Itaporanga,2
352290 Itapuí,2
352300 Itapura,1
352310 Itaquaquecetuba,44
352320 Itararé,1
352340 Itatiba,10
352360 Itirapina,12
352390 Itu,32
352400 Itupeva,7
352410 Ituverava,7
352420 Jaborandi,2
352430 Jaboticabal,10
352440 Jacareí,37
352460 Jacupiranga,3
352470 Jaguariúna,13
352480 Jales,6
352500 Jandira,25
352510 Jardinópolis,5
352520 Jarinu,2
352530 Jaú,12
352540 Jeriquara,1
352560 João Ramalho,3
352570 José Bonifácio,7
352590 Jundiaí,54
352610 Juquiá,1
352620 Juquitiba,3
352640 Laranjal Paulista,3
352650 Lavínia,2
352670 Leme,19
352680 Lençóis Paulista,9
352690 Limeira,46
352700 Lindóia,2
352710 Lins,10
352720 Lorena,12
352730 Louveira,5
352740 Lucélia,2
352790 Lutécia,1
352810 Macaubal,1
352840 Mairinque,2
352850 Mairiporã,7
352860 Manduri,2
352870 Marabá Paulista,1
352900 Marília,22
352920 Martinópolis,7
352930 Matão,8
352940 Mauá,43
352960 Meridiano,1
352970 Miguelópolis,2
352980 Mineiros do Tietê,3
352990 Miracatu,3
353010 Mirandópolis,6
353020 Mirante do Paranapanema,2
353030 Mirassol,7
353050 Mococa,2
353060 Mogi das Cruzes,47
353070 Mogi Guaçu,33
353080 Moji Mirim,7
353090 Mombuca,4
353110 Mongaguá,20
353130 Monte Alto,8
353140 Monte Aprazível,3
353150 Monte Azul Paulista,4
353180 Monte Mor,12
353190 Morro Agudo,1
353205 Motuca,1
353210 Murutinga do Sul,1
353240 Nazaré Paulista,1
353290 Nova Europa,2
353300 Nova Granada,1
353340 Nova Odessa,2
353325 Novais,1
353350 Novo Horizonte,5
353360 Nuporanga,1
353390 Olímpia,6
353400 Onda Verde,1
353430 Orlândia,1
353440 Osasco,132
353450 Oscar Bressane,1
353460 Osvaldo Cruz,2
353470 Ourinhos,15
353480 Ouro Verde,1
353475 Ouroeste,2
353490 Pacaembu,2
353500 Palestina,1
353510 Palmares Paulista,2
353520 Palmeira d'Oeste,2
353530 Palmital,3
353550 Paraguaçu Paulista,5
353560 Paraibuna,2
353570 Paraíso,1
353580 Paranapanema,2
353600 Parapuã,1
353620 Pariquera-Açu,4
353650 Paulínia,16
353660 Paulo de Faria,3
353670 Pederneiras,3
353700 Pedregulho,1
353710 Pedreira,9
353730 Penápolis,2
353740 Pereira Barreto,7
353760 Peruíbe,12
353780 Piedade,4
353790 Pilar do Sul,4
353800 Pindamonhangaba,19
353820 Pinhalzinho,3
353850 Piquete,1
353870 Piracicaba,98
353880 Piraju,3
353890 Pirajuí,7
353910 Pirapora do Bom Jesus,3
353920 Pirapozinho,3
353930 Pirassununga,6
353950 Pitangueiras,5
353980 Poá,17
353990 Poloni,1
354000 Pompéia,1
354020 Pontal,2
354030 Pontes Gestal,2
354060 Porto Feliz,11
354070 Porto Ferreira,3
354075 Potim,5
